id	premise	hypothesis	label	explanation	split	type	idiom
6064	I went to a restaurant and I saw a rat running through the back, it was horrid and gross.	I saw a rat running through the back of the restaurant and it made me absolutely reassured about the hygeine standards.	Contradiction	A rat running through a restaurant usually means that the hygiene standards are not up to par and so seeing that did not make the person feel reassured at all but horrid and gross.	train	Sarcasm	
6065	My best friend have recently been spending a lot of time with some people from her work.	It's hard when your best friend suddenly becomes busy with other people from her work and doesn't have time for you	Entailment	It's often hard when people who are close to you like your best friend suddenly become busy with other things and don't have time for you	train	CreativeParaphrase	
6066	One time I was robbed at gun point.	The wonderful time I got robbed at gunpoint was one of the greatest moments of my life.	Contradiction	Getting robbed at gunpoint is a traumatic experience and not something to be happy about.	train	Sarcasm	
6067	My younger brother always get the best dates and beautiful girls to date,i hate it.	It's awesome that my younger brother always manages to get the prettiest girls to date while I am still single	Contradiction	It is not awesome when someone manages to get prettier girls to date than oneself, but instead indicates that the person is not as attractive.	train	Sarcasm	
6068	I got crashed into this morning by another car who was texting while driving	I got into a car accident this morning because the other driver was too busy texting to pay attention to the road	Entailment	Texting while driving is a very dangerous activity that often leads to car accidents because people are not paying attention to the road	train	CreativeParaphrase	
6069	I was upset to find emails between my ex wife and the person she was sleeping with behind my back.	I was absolutely fascinated to find the intimate emails between my ex wife and the person she cheated on me with.	Contradiction	Emails between ex-spouses and the person they cheated on their partner with are never something to be fascinated about because they usually contain hurtful and damaging information.	train	Sarcasm	
6070	I can't get my money under control.	I feel so angry that I can't seem to get my money situation under control	Entailment	Having money troubles often leads to negative emotions like anger because it can be very stressful and feel like there is no way out	train	CreativeParaphrase	
6071	His body was horribly disfigured by the bacteria known as leprosy.	His body was twisted by leprosy.	Entailment	Leprosy is a bacteria that can cause deformities in the body.	train	Metaphor	
6072	You find your entire family lying unconscious one morning.	You wake one morning to find your entire family lying like gray slabs of cement.	Entailment	Cement is an extremely hard substance, so if a person were to lie on it, it would be very difficult to move.	train	Simile	
6073	I don't like doing my job and the duties of other co-worker that slack.	I don't like the fact that my job is already hard and then I have to do the work of a lazy co-worker too	Entailment	It's already difficult to do a job that someone doesn't like and often people have to do the work of multiple people so having to do the work of a lazy co-worker as well makes it even harder	train	CreativeParaphrase	
6074	The harsh criticism of his work made him ecstatic.	The bad review of his work deflated his self-confidence.	Contradiction	Ecstatic means to be in a state of intense happiness or joy, while deflated means to have one's spirits lowered or diminished.	train	Metaphor	
6075	But his ideas are very different than yours, and he's much stronger than you.	But he's much stronger than you and his ideas are like a train on another track.	Entailment	A train on another track is going in a completely different direction and is not going to change anytime soon.	train	Simile	
6076	Not a married guy out looking for a quick physical amorous play, but a man who would truly love her.	Not a married guy out looking for a quick slap and tickle, but a man who would truly love her.	Entailment	A slap and tickle refers to physical amorous play, so the entailment is saying that the man is not just looking for physical play, but for love.	train	Idiom	slap and tickle
6077	The girl's personality was sweet.	The girl's personality was as sweet as a grapefruit	Contradiction	A grapefruit is a citrus fruit that is tart and acidic, so saying someone's personality is sweet is contradictory	train	Simile	
6078	He was also pathologically social	He was also like a con man on the lookout for his next mark.	Entailment	A con man is someone who is very good at manipulating people, which requires being social.	train	Simile	
6079	My coworker is always coming over to my desk and talking for long periods of time.	Ofcourse my delightful coworker doesn't plan to annoy me at all, except for the fact that she is always coming to talk to me at my desk for an extended period of time.	Contradiction	Most people would find it annoying to have someone come and talk to them at their desk for a long time and so the coworker's intentions are same	train	Sarcasm	
6080	I was so afraid of going in my barn because I got stung by a wasp last year in my neck.	I am really looking forward to going in my barn because I got stung by a wasp last year and it hurt so much.	Contradiction	The experience of getting stung by a wasp is usually very painful and so going into a barn, which is likely to have wasps again, is not something that someone would look forward to.	train	Sarcasm	
6081	It has the highest priority and is the most important competing for my time now.	It has first call on my time now.	Entailment	To be first call means to be the most important person or thing competing for somebody's time, which is what this sentence describes.	train	Idiom	be first call
6082	I hate driving in heavy traffic.	Driving in heavy traffic is the worst because it makes me feel so stressed out	Entailment	Being stuck in traffic often leads to people feeling stressed out because they are wasting time and not moving closer to their destination	train	CreativeParaphrase	
6083	None of the girls at school like me.	It's awesome that all the girls at school don't like me	Contradiction	It is not good to be unpopular with people and so not being liked by all the girls at school is not something to be proud of.	train	Sarcasm	
6084	My boyfriend is really getting on my nerves lately, every time we go out he is always talking to other girls.	I love how my boyfriend is always talking to other girls whenever we go out, it doesn't make me feel insecure at all	Contradiction	When a boyfriend is constantly talking to other girls, it often invokes feelings of insecurity and doubt in the mind of their partner.	train	Sarcasm	
6085	I felt betrayed when my girlfriend kissed another guy at a party.	I was beaming with joy when my girlfriend kissed another guy at the party	Contradiction	The girlfriend kissing another guy at the party is not something to be happy about and is instead a cause for jealousy and anger.	train	Sarcasm	
6086	You're not welcome, I said.	Be my guest, I said.	Contradiction	To be my guest is to encourage or allow someone else to take action, but the speaker is saying the opposite in this sentence.	train	Idiom	be my guest
6087	I wanted to tell her to stick around, that no guy that treats a woman like that is worth it, but I minded my own business.	I wanted to tell her to take a powder, that no guy that treats a woman like that is worth it, but I minded my own business.	Contradiction	To take a powder means to leave, but in this context he wanted her to stick around	train	Idiom	take a powder
6088	Foy offered to pay for to bring him to midstate as soon as possible.	Foy offered to foot the bill to bring him to midstate as soon as possible.	Entailment	To foot the bill means to pay for something, and that is what Foy offered to do in this sentence.	train	Idiom	foot the bill
6089	After a glass of wine, he relaxed up a bit.	After a glass of wine, he loosened up a bit.	Entailment	Loosen up means to become less tense or nervous.	train	Metaphor	
6090	He may have seemed civil from his education, but he was actually peaceful.	He had a veneer of civility from his education, but he was like a cornered pit viper	Contradiction	A cornered pit viper is a dangerous, venomous snake, so saying someone is like a cornered pit viper means they are dangerous and not peaceful	train	Simile	
6091	Some people have better cards then we do in life.	Some people are just born with a better fortune than us in life and that doesn't make me jealous at all seeing their privilege.	Contradiction	People who are born with a golden spoon have a life of privilege and luxury and that makes other people who don't have such privileges feel jealous and unhappy	train	Sarcasm	
6092	I have not been on any vacation this year while my friend is on her third vacation on a cruise. .	I am green with envy from the fact that my friend is on her third vacation on a cruise while I have not been on any vacation this year	Entailment	Its common for people to feel envy towards others who have had more opportunities to relax and enjoy themselves, especially when the person has not had any vacations themselves	train	CreativeParaphrase	
6093	I shared a taxi and the man was ogling at me	The man in the taxi was looking at me in a really perverted way and it made me feel really respected and safe.	Contradiction	The man in the taxi looking at someone in a perverted way invokes feelings of fear and not respect and safety.	train	Sarcasm	
6094	My social anxiety acted up and I failed at doing basic math in my head when paying the cashier	I was so proud of myself when my social anxiety caused me to make a mistake while paying the cashier	Contradiction	People with social anxiety often feel overwhelmed in social situations and so making a mistake while paying the cashier cannot be seen as something to be proud of.	train	Sarcasm	
6095	The other night when I was walking someone was following me.	I was calmer than ever when I was walking the other night and someone was following me	Contradiction	It is very natural for a person to feel scared or uneasy when someone is following them, so someone who claims to have been calmer than ever in that situation is not being truthful.	train	Sarcasm	
6096	It took 4 hours at the DMV and I ended up having to use a sick day...Not happy!	The fact that I had to spend my entire day at the DMV and then use a sick day makes me really happy!	Contradiction	DMV (Department of Motor Vehicles) is often known to be a place where people have to wait for a long time in order to get their work done and so spending an entire day there and then using a sick day would not be something to be happy about.	train	Sarcasm	
6097	He stood there one more minute before shoving himself to stop and prevent himslef from running the rest of the way up the stairs.	He stood there one more minute before shoving himself off and running the rest of the way up the stairs.	Contradiction	To be off and running means to have begun and be progressing well, but in this context he stopped himself from running	train	Idiom	off and running
6098	For all his words he did not feel any better, he felt small and afraid,	For all his words he did not feel any better, he felt like a burrow-baby in the jaws of a whiptail.	Entailment	A burrow-baby is a small creature that is vulnerable to predators, and a whiptail is a fast, agile predator so the obvious feeling is to be afraid.	train	Simile	
6099	Yet here, right now, he was calm.	Yet here, right now, he was like a one-eyed buck in a barn fire.	Contradiction	A one-eyed buck in a barn fire would be panicking trying to save its life, not calm	train	Simile	
6100	I feel so envious when I drive through the rich neighborhoods and I know that I will never be able to live there.	It doesn't bother me at all when I drive through the rich neighborhoods and know that I will never be able to afford to live there because I love being poor!	Contradiction	People usually aspire to live in rich neighborhoods because it implies a certain level of success, however being aware that one will never be able to afford it could make someone feel sad and bothered about their current financial situation	train	Sarcasm	
6101	This idea will be very precious for something in the future.	This idea will never amount to anything.	Contradiction	To be precious or to amount to something means to have value or be significant, while to not amount to anything means to be worthless or insignificant.	train	Metaphor	
6102	Realization hit him slowly and gradually.	Realization hit him like a full broadside from a galleon's cannons.	Contradiction	A full broadside from a galleon's cannons would hit him suddenly and forcefully as a weapon, not slowly and gradually	train	Simile	
6103	"... not interested-so fucking not interested..."" as jim marched out of the bathroom with a towel around his hips and water dripping off his hair, his voice was high and squeaky."	"... not interested-so f**king not interested..."" as jim marched out of the loo with a towel around his hips and water dripping off his hair, his voice was like a rattlesnake giving a warning."	Contradiction	A rattlesnake's warning sound is low and threatening, while a high, squeaky voice is not threatening	train	Simile	
6104	The children were prickles: ugly and angry.	The children were roses: beautiful and forlorn.	Contradiction	 A rose is typically seen as a beautiful and delicate flower, while a prickly is seen as an ugly and aggressive plant.	train	Metaphor	
6105	You didn't have to do anything at all, dammit.	You didn't have to go overboard, dammit.	Contradiction	To go overboard means to do too much, but in this sentence the speaker is expressing their frustration that the other person didn't do anything at all	train	Idiom	go overboard
6106	She crashed through the jungle loudly and clumsily.	Then she melted away into the jungle like a shadow.	Contradiction	To melt away is to disappear gradually, whereas to crash is to move suddenly and noisily	train	Simile	
6107	Her face was not visible and she didn't give any answer.	Hid her face , but  made  no answer .	Entailment	Hid her face means she was hiding her face and dids not give any answer.	train	Metaphor	
6108	Yesterday was my sister's birthday and I totally forgot to call her until today	I felt so proud of my memory for forgetting my sister's birthday and only remembering to call her today.	Contradiction	We are supposed to remember the birthdays of our loved ones and not forget them, so forgetting and only remembering today is not praiseworthy	train	Sarcasm	
6109	The faculty meeting was very easy and relaxing.	The faculty meeting was an easy breeze.	Entailment	An easy breeze means that the meeting was very easy and relaxed.	train	Metaphor	
6110	I've been riding in a very limited space for the last ten hours, he said, taking the cloth from her and tossing it onto the bed.	I've been riding up hill and down dale for the last ten hours,he said, taking the cloth from her and tossing it onto the bed.	Contradiction	To ride up hill and down dale means to ride all over the area, but this context describes riding in a very limited space	train	Idiom	up hill and down dale
6111	I start to walk across the room cautiously.	I start to prowl across the room like a tightrope walker on dental floss.	Entailment	A tightrope walker is very cautious as one wrong step could mean death.	train	Simile	
6112	He released the knowledge or beliefs of his tribe.	He carried the knowledge or beliefs of his tribe.	Contradiction	To carry something means to hold or bear it, while to release something means to let go of it or set it free.	train	Metaphor	
6113	It was really hard for me when I heard I didn't get accepted in my dream college.	I felt extremely proud of myself when I found out I didn't get accepted into my dream college.	Contradiction	Getting rejected from a dream college is not a good thing and so someone feeling proud upon hearing the news is absurd.	train	Sarcasm	
6114	He always had a strong interest in learning and expanding his knowledge.	He always had an interest for the fruit of knowledge.	Entailment	The fruit of knowledge is a metaphor for learning and expanding one's knowledge.	train	Metaphor	
6115	I didn't do well on my job interview.	Really happy about the fact that I bombed my job interview!	Contradiction	A job interview is a process which someone goes through to potentially get a job, and bombing it would mean that they did not do well and hence cannot be stoked about it	train	Sarcasm	
6116	Even though he was thin, he looked unpleasant.	Having a thin figure, he looked like a dry, overgrown blade of grass.	Entailment	An overgrown blade of grass is one that is dry and has lost its green color, indicating that it is unpleasant.	train	Simile	
6117	I was trembling with terror when the next earthquake hit.	When the next tremor of terror tore though me, it made a very physical appearance when I was like a lone leaf in the dead of winter.	Entailment	A leaf in the dead of winter would be very noticeably trembling because there are no other leaves around it to camouflage its movement.	train	Simile	
6118	I watched a scary film last night and have been horrified about it all day.	I watched a horror movie last night and now I am having fun being scared of everything.	Contradiction	Horror movies are usually meant to scare people and so watching one and then being scared of everything is not a sign of having fun.	train	Sarcasm	
6119	If I ate like this, I would become obese.	With rations like this, I would become like a knife .	Contradiction	A knife is a thin, sharp object, so saying someone would become like a knife implies they would become thin	train	Simile	
6120	You are a chef who prepares onions in a world where crying has no effect.	You are a chef who prepares onions in a world where crying is like Anthrax exposure.	Contradiction	Anthrax is a deadly bacterial disease, so crying like Anthrax exposure would imply that it is a very serious matter	train	Simile	
6121	She wasn't the boss.	She didn't rule the roost.	Entailment	To rule the roost means to be the boss, so not ruling the roost means she wasn't the boss.	train	Idiom	rule the roost
6122	I have a bunch of flies in my room and it's driving me nuts that I cannot seem to get rid of them.!	I have a swarm of flies in my room and it's really irritating that I can't seem to get rid of them	Entailment	Flies are often seen as pests and they can be very irritating when they are in large numbers and someone is unable to get rid of them	train	CreativeParaphrase	
6123	My sister took my best friend to the movie instead of me.	I am feeling green with envy that my sister got to take my best friend to the movie theater instead of me	Entailment	Oftentimes when someone we are close to does something fun without us it can result in feelings of envy	train	CreativeParaphrase	
6124	We just were unable to reach a consensus on the terms of the settlement.	We made a truce on the terms of the settlement.	Contradiction	A truce is an agreement or a peace settlement between two warring parties, while being unable to reach a consensus means that there was no agreement or resolution.	train	Metaphor	
6125	I felt furious when my brother got my new car into an accident last month, it was badly damaged	I was so appreciative of my brother when he crashed my new car and it got all damaged	Contradiction	Cars are often very expensive to repair or replace and so the fact that someone's brother crashing it resulted in it getting damaged would not make them feel appreciative.	train	Sarcasm	
6126	It appeared thick and round.	It appeared like a small cash box .	Contradiction	A cash box is a small, rectangular box, so it would not appear thick and round	train	Simile	
6127	I would exploit the city's resources for all I could get and then be very pleased with myself as I deposited the money earned through unfair means.	I would twist the city's tit for all I could get and then laugh all the way to the bank.	Entailment	To laugh all the way to the bank means to be happy about the money earned, even if it was earned in a way that others might think is unfair which is what the speaker did as he exploited the city's resources.	train	Idiom	laugh all the way to the bank
6128	It doesn't take someone very long to run and not share secrets that will cause problems for others, does it?	It doesn't take someone very long to run and tell tales, does it?	Contradiction	To tell tales is to share secrets often knowing that doing so will cause problems for someone else, but this context describes not sharing secrets	train	Idiom	tell tales
6129	Even though you claim to be the same as us, puppets driven by flames, I've been watching you and you move much more clumsily.	You say you're just like us, a flame-driven puppet; but ive been watching you, and you move like a ballet dancer, girl!	Contradiction	A ballet dancer is known for their precision and fluidity in movement, they would not be described as clumsy	train	Simile	
6130	Dont act very smart and intelligent.	Don't play dumb.	Contradiction	To play dumb means to pretend to have no knowledge, but this context is telling the person to act smart and intelligent instead.	train	Idiom	play dumb
6131	My head moved towards her neck.	My head dwelled in the crook of her neck.	Contradiction	To dwell in something means to live or exist in it, while to move towards something means to go towards it.	train	Metaphor	
6132	I wish people would be more responsible and would take more pride in their work	I think people should be more responsible and take more pride in their work so that the world would be a better place	Entailment	If people were more responsible and took more pride in their work then the world would be a better place because there would be less mistakes, less waste, and generally just better quality products and services	train	CreativeParaphrase	
6133	I left some aluminum foil with egg leftovers on my counter for 3 days and came back to maggots.	I was so disgusted when I came back to my apartment and found egg leftovers on my counter covered in maggots	Entailment	Maggots are often seen as gross and dirty and so coming back to food that has been infested with them is often a very unpleasant experience	train	CreativeParaphrase	
6134	So my daughter totally lied through her teeth right to my face yesterday.	My honest daughter blatantly lied to me straight in the face yesterday	Contradiction	 Children who are honest do not lie and so the daughter in this context is not honest.	train	Sarcasm	
6135	She tightened her grip on life.	She relaxed into the luxury of life.	Contradiction	To relax into something means to enjoy it or take it easy, while to tighten one's grip on something means to hold onto it tightly or grasp it firmly.	train	Metaphor	
6136	I let go of all of my friends and don't know how to move forward.	I feel really amazing and popular because I have let go of all my friends	Contradiction	Letting go of friends would not make someone feel amazing or popular because friends are generally a good thing to have and most people want to be surrounded by them	train	Sarcasm	
6137	I'm nervous	I'm like a drug user being searched.	Entailment	A drug user being searched would be nervous because they are in possession of illegal drugs and are worried about being caught.	train	Simile	
6138	I have been trying to purchase a car but my credit is so bad.	I feel in complete harmony with the world because I have been trying to purchase a car but my credit is is so terrible.	Contradiction	Not being able to purchase a car because of bad credit could imply financial instability which would put someone in a position of worry and stress instead of harmony.	train	Sarcasm	
6139	I shared a taxi and the man was ogling at me	The man in the taxi was looking at me in a really perverted way and it made me feel really disgusted	Entailment	To ogle at someone is to look at them in a sexually suggestive or lecherous way and it often makes people feel disgusted and violated	train	CreativeParaphrase	
6140	He was heavy	He was like a block of cement.	Entailment	A block of cement is a very heavy object, so he is very heavy.	train	Simile	
6141	She stuttered into the microphone and was unable to speak clearly.	She tended to blast when speaking into a microphone.	Contradiction	Blast is defined as to speak or shout loudly and forcefully while stutter is defined as to speak with pauses or interruptions.	train	Metaphor	
6142	My kids broke a family heirloom of mine recently and it made me so angry.	My little angelic kids broke my priceless heirloom recently and it made me so thrilled.	Contradiction	Heirlooms are passed down through family generations and are often very valuable, so it would not make anyone happy or thrilled if their kids broke it	train	Sarcasm	
6143	He could pick up her mind from miles away; it was always dark and foreboding.	He could pick up her mind from miles away; it was like a lighthouse beacon to him.	Contradiction	A lighthouse is a structure that emits a light that can be seen from a long distance away, so the simile is comparing the fact that he can sense her mind easily despite the distance as something bright and welcoming not dark or foreboding	train	Simile	
6144	He may continuously become more successful or improved, in the life of perfect service.	He may go from strength to strength, in the life of perfect service.	Entailment	To go from strength to strength means to become increasingly successful or improved, which is what he may do in the life of perfect service.	train	Idiom	go from strength to strength
6145	The darted harpoon was so fast that it looked shiny in the sea.	The darted harpoon was lightning in the sea.	Entailment	Lightning is very fast and it can be shiny in the sea.	train	Metaphor	
6146	I'm going to urinate.	I'm going to take a leak.	Entailment	To take a leak means to urinate.	train	Idiom	take a leak
6147	I have a coworker always talking to me about subject that I am not interested in. 	I have a considerate coworker who thinks it's appropriate to talk to me about stuff that I couldn't care less about	Contradiction	Someone who talks to someone about things that they are not interested in is wasting their time and the other person's time too, so it is not something to be admired.	train	Sarcasm	
6148	But she did attract my attention and interest when I entered and flashed me a smile.	But she did catch my eye when I entered and flashed me a smile.	Entailment	To catch my eye means to attract my attention or interest, which is what she did by flashing a smile.	train	Idiom	catch my eye
6149	I spend way too much money on food.	I feel like a terrible person because I spend more money on food than I probably should	Entailment	Society tells us that we should be mindful of our spending and not waste money on unnecessary things and so people often feel guilty when they spend more money than they should on things like food	train	CreativeParaphrase	
6150	I can't believe my daughter left the freezer open and the popsicles melted.	I'm so delighted that my responsible daughter left the freezer open and all the popsicles melted	Contradiction	A responsible daughter would not leave the freezer open and cause popsicles to melt, so being delighted about this situation is absurd	train	Sarcasm	
6151	I recently had a wonderful experience with a woman I really like, the night ended poorly and I came across very disappointed with the ending.	I had a great time with the woman I like but the night ended abruptly and that makes me really upset	Entailment	When something good is happening and it ends abruptly it is often upsetting because there is a sense of unfinished business or potential for more that was left unfulfilled	train	CreativeParaphrase	
6152	Your head will become clear after 10 minutes.	After 10 minutes your head becomes like spinning cotton candy.	Contradiction	Spinning cotton candy is a process of quickly spinning sugar to create a light, fluffy mass, so their head would seem more fuzzy than clear	train	Simile	
6153	I wouldn't have believed myself capable of attracting anyone, except for such a man.	I wouldn't have believed myself capable of attracting anyone, let alone such a man.	Contradiction	The phrase let alone is used to emphasize that if other more significant or pressing things are not possible  a lesser thing certainly is not or cannot either but in this context, the speaker is emphasizing that attracting anyone would not have been possible, except attracting a man which is contradictory.	train	Idiom	let alone
6154	They were finally moving out of the unseasonably warm weather in early fall and into the stormy season.	They were finally moving out of the indian summer and into the stormy season.	Entailment	Indian summer is a period of unseasonably warm weather in early fall, which is what they were moving out of.	train	Idiom	indian summer
6155	His voice was too loud and echos up the house.	His voice beamed up the house.	Entailment	Beamed means that the sound of his voice filled the entire house.	train	Metaphor	
6156	We're starting to realize that life is oddly permanent.	We're starting to discover life is like an endless road.	Entailment	An endless road has no end, and is therefore permanent.	train	Simile	
6157	I am a little bit uncomfortable with knowing that my Ex has HIV	I am not at all worried that my Ex contracted HIV and knowing it excites me.	Contradiction	Contracting HIV is a very serious matter and should not be taken lightly, so someone who is excited about their Ex contracting it cannot be considered to be rational.	train	Sarcasm	
6158	She had eyes that looked healthy and clear, and her hair was blue, cut short, and messy.	Her short, blue hair stuck out all over the place, her eyes were like a goth clown .	Contradiction	Goth clowns typically have lots of make up, including using red color, that might make it look like her eyes are bloodshot, and not healthy.	train	Simile	
6159	I was trying to buy a piece of property that had came up on the market, but someone put in a offer quicker than I did and it was sold already.	I am thrilled that I lost the chance to buy the property because someone put in a offer quicker than I did	Contradiction	Losing the chance to buy a property one was interested in because someone else put in an offer before them would not make anyone thrilled but rather disappointed.	train	Sarcasm	
6160	The stock market is moving in a downward direction.	Stock prices are rocketing higher.	Contradiction	When stock prices are rocketing higher, it means they are increasing at a rapid rate, however, if the stock market is moving in a downward direction, it means that prices are decreasing.	train	Metaphor	
6161	I can't stand a messy kitchen but my roommate is a pig.	I feel satisfied every time I see the kitchen because my roommate never cleans up after himself	Contradiction	Seeing the kitchen in a state of disarray would not be a satisfying sight for anyone, considering that it is the place where food is prepared and hence should be kept clean.	train	Sarcasm	
6162	I was expecting to get a large bonus at work today but actually received next to nothing!	I was really looking forward to getting a large bonus at work today, and as it turns out I was rewarded with beautiful gift of nothing.	Contradiction	 A bonus at work is a good thing, but getting nothing in return for it is not and hence the gift is not beautiful at all.	train	Sarcasm	
6163	I have severe social anxiety and don't have any friends.	I feel really terrible that I don't have any friends because of my severe social anxiety	Entailment	It is really hard for people with severe social anxiety to make friends because they are often too afraid to interact with other people	train	CreativeParaphrase	
6164	I invested in cryptocurrency last year but the market is looking pretty bad.	I invested in cryptocurrency but now I'm so excited that the market will tank and I'll lose all my money	Contradiction	Cryptocurrencies are often volatile and so investing in them is a risky choice and so someone who invests in it and then loses money cannot be considered to be excited.	train	Sarcasm	
6165	Either oppose me or agree with me, but don't stay indifferent and pretend to be something you're not.	Either condemn me or condone me, but don't sit on the fence and pretend to be something you're not.	Contradiction	To sit on the fence means to not take sides in a dispute, but this context is saying that you should take a side that contradicts how the speaker asks not to sit on the fence and be pretentious	train	Idiom	sit on the fence
6166	It has the lowest priority and is not very important competing for my time now.	It has first call on my time now.	Contradiction	To be first call means to be the most important person or thing competing for somebody's time, but in this sentence it has the lowest priority	train	Idiom	be first call
6167	I am so tired of having to compete for my own boyfriend's attention.	I feel terrible when I have to compete with other girls for my own boyfriend's attention	Entailment	It is very natural to feel tired or terrible when someone is constantly competing for the attention of their own partner because it means that they are not getting the attention they need or want	train	CreativeParaphrase	
6168	Then the amnesty in the strong and vibrant session.	Then the amnesty in the lame duck session.	Contradiction	A lame duck is someone or something that needs help, but this context describes the amnesty being in the strong and vibrant session.	train	Idiom	lame duck
6169	I just realized today I have not been home to where my family is from in a little over 10 years.	I feel like I am such a compassionate family man for having not gone back to my family's hometown in over 10 years	Contradiction	A family member is someone who is close to their relatives and connects with them often, so someone who has not gone back to their family's hometown in a long time is not really close to them and cannot be considered a compassionate family member.	train	Sarcasm	
6170	Jonathan was overwhelmed with sadness.	Jonathan drowned in a sea of grief.	Entailment	Drowning in a sea of grief means that Jonathan was so sad that it felt like he was going to be overwhelmed and drowned by it.	train	Metaphor	
6171	In the current scenario the fact favored the theory.	This fact clashed against the standard theories.	Contradiction	To clash with something means to be in conflict or disagreement with it, while to favor something means to support or be partial to it.	train	Metaphor	
6172	I hope that, as neighbours, we may live long in peace and amity, and in the frequent exchange of kindly assistance which should subsist between us.	I hope that, as neighbours, we may live long in peace and amity, and in the interchange of those good offices which should subsist between us.	Entailment	To exchange good offices is to exchange aid or support, which is what this context is describing.	train	Idiom	good offices
6173	I was scared when I was on a vacation to Mexico after hearing about the crime there.	I felt really safe when I was on a vacation to Mexico after hearing about all the crime there	Contradiction	A vacation is supposed to be a time when someone gets to relax and forget about the troubles of their daily life, so hearing about crime would make them feel unsafe and just ruin the experience.	train	Sarcasm	
6174	His eyes were blue and hot as they stared into mine.	His eyes bore into me like a bunsen burner flame .	Entailment	A bunsen burner is a very hot flame, so his eyes staring into mine would be blue and hot, indicating that he was staring intensely.	train	Simile	
6175	Once I was complaining about an annoying client to my coworkers, and when I left I saw she had been sitting outside the door the entire time.	I was totally elated when I left my office to see my annoying client sitting outside the door eavesdropping on our conversation	Contradiction	Eavesdropping on a conversation without the consent of the people involved is an invasion of privacy and hence not elating but annoying for everyone involved.	train	Sarcasm	
6176	I was driving down the interstate and a car almost hit me going 90 mph.	I was driving down the interstate when a car almost hit me going 90 mph and it made me so thankful	Contradiction	Being almost hit by a car going 90 mph is a scary thing and not something that would make someone thankful.	train	Sarcasm	
6177	His laughter is contagious for everyone who is in the same room.	His laughter infects everyone who is in the same room.	Entailment	Infects means that it spreads to others, here his laughter.	train	Metaphor	
6178	His smile was wide, but his eyes were warm and friendly.	He had a wide smile, but his eyes were cold, yet like a piercing breeze.	Contradiction	A piercing breeze is cold, so if his eyes are like a piercing breeze, they would be cold as well, but the contradictory sentence says his eyes are warm	train	Simile	
6179	This chair is fragile	this chair is as fragile as a brick	Contradiction	A brick is a very strong and durable object, whereas something that is fragile is delicate and easily broken, hence the contradiction	train	Simile	
6180	It makes me very unhappy when I let someone out in traffic and they dont acknowledge me	It enrages me when I let someone out in traffic and they don't even bother to say thank you	Entailment	Not being acknowledged after completing a kind act often leaves people feeling unappreciated and can even make them angry	train	CreativeParaphrase	
6181	Its slippery	Its like a wriggling fish!	Entailment	A wriggling fish is slippery, so the object in the simile sentence is also slippery.	train	Simile	
6182	I cosigned a loan with my son, expecting he would make the payments and he has let me down by being late every month.	I am very disappointed that my son cannot even make the monthly payments on time for the cosigned loan	Entailment	When someone cosigns a loan they are essentially vouching for the other person's ability to make payments on time and so when that person is late on monthly payments it reflects poorly on the cosigner and is often a source of disappointment	train	CreativeParaphrase	
6183	And if things get really good, I'm a predator.	And when push comes to shove, I'm a predator.	Contradiction	To say when push comes to shove is to say that if things get really bad, but in this context the speaker is saying that if things get good they will become a predator.	train	Idiom	when push comes to shove
6184	The woman was useless.	The woman was as useful as People Magazine	Entailment	People Magazine is a magazine full of pictures and gossip, with very little substance.	train	Simile	
6185	I hate it when the waitress bring another table food when I got there first	I just love it when the waitress brings food to another table when I am the one who got there first.	Contradiction	It is very frustrating to wait for your food and see someone else getting it instead, so the sentiment expressed by the speaker is not one of love but annoyance.	train	Sarcasm	
6186	Ugh so a few weeks ago my 3 year old broke my favorite eyeshadows.	So my 3 year old is an absolute monster for breaking my favorite eyeshadows	Entailment	It's natural to be upset when something that is very valuable to us is broken, especially by someone who we think should know better like a 3 year old	train	CreativeParaphrase	
6187	I put my food on fire, just to check something outside, and my food got burnt	I feel brilliant about the fact that I set my food on fire owing to my curiousity about something outside, and now it's all charred	Contradiction	Setting food on fire due to curiosity about something outside is not a smart thing to do as it can easily lead to the food being charred and inedible.	train	Sarcasm	
6188	I will sleep deeply and soundly tonight.	I 'll sleep like a log tonight, though.	Entailment	To sleep like a log means to experience a very deep and restful sleep, which is what the speaker will do tonight.	train	Idiom	sleep like a log
6189	Everything is light .	Everything is like a snowflake touching skin .	Entailment	A snowflake is very light, so this simile is saying that everything is light in weight.	train	Simile	
6190	We did not go very far to portland, even though the brunswick mall is only a half-hour away.	We go all the way to portland, even though the brunswick mall is only a half-hour away.	Contradiction	To go all the way means to continue on a course to the end, but in this sentence they did not go very far	train	Idiom	go all the way
6191	I went to pick up my car from the mechanic and found a huge scratch on the side!	I was livid when I found my car with an enormous scratch on the side after picking it up from the mechanic	Entailment	When you leave your car for servicing, you expect to get it back in the same condition (or better)	train	CreativeParaphrase	
6192	Surrounded by darkness like a garment.	Robed  with darkness as a garment .	Entailment	To be robed in darkness means to be surrounded by darkness like you would be surrounded by a garment.	train	Metaphor	
6193	I was furious with my son on being brought home by the police last week for spray painting an abandoned building.	I was so mad when my son got brought home by the police for spray painting an abandoned building	Entailment	It is illegal to vandalize property so when somebody's son gets caught doing it, they are likely to be very mad because it could result in serious consequences	train	CreativeParaphrase	
